"키워드","키워드 최초 등장일"
"카카오자전거","2017-09-12"
"공유이동수단","2020-07-09"
"공유자전거","2017-03-11"
"퍼스널모빌리티","2016-01-01"
"전동킥보드","2016-01-01"
"따릉이","2016-01-01"
